Date,Open,High,Low,Close
05-Dec-18,-,-,-,5011.01
04-Dec-18,-,-,-,5059.45
03-Dec-18,-,-,-,5065.14
30-Nov-18,-,-,-,5055.24
29-Nov-18,-,-,-,5040
28-Nov-18,-,-,-,4991.93
27-Nov-18,-,-,-,4987.45
26-Nov-18,-,-,-,4965.22
22-Nov-18,-,-,-,4931.21
21-Nov-18,-,-,-,4964.56
20-Nov-18,-,-,-,4975.01
19-Nov-18,-,-,-,5026.6
16-Nov-18,-,-,-,4994
15-Nov-18,-,-,-,4973.59
14-Nov-18,-,-,-,4956.08
13-Nov-18,-,-,-,4957.63
12-Nov-18,-,-,-,4922.44
09-Nov-18,-,-,-,4970.14
07-Nov-18,-,-,-,4962.93
06-Nov-18,-,-,-,4927.06
05-Nov-18,-,-,-,4931.1
02-Nov-18,-,-,-,4942.72
01-Nov-18,-,-,-,4872.75
31-Oct-18,-,-,-,4861.42
30-Oct-18,-,-,-,4777.16
29-Oct-18,-,-,-,4781.32
26-Oct-18,-,-,-,4674.5
25-Oct-18,-,-,-,4704.8
24-Oct-18,-,-,-,4750.24
23-Oct-18,-,-,-,4714.45
22-Oct-18,-,-,-,4763.42
19-Oct-18,-,-,-,4799.78
17-Oct-18,-,-,-,4865.5
16-Oct-18,-,-,-,4941.24
15-Oct-18,-,-,-,4894.91
12-Oct-18,-,-,-,4868.85
11-Oct-18,-,-,-,4756.54
10-Oct-18,-,-,-,4857.31
09-Oct-18,-,-,-,4752.73
08-Oct-18,-,-,-,4774.88
05-Oct-18,-,-,-,4789.5
04-Oct-18,-,-,-,4916.82
03-Oct-18,-,-,-,5028.37
01-Oct-18,-,-,-,5086.5
28-Sep-18,-,-,-,5060.39
27-Sep-18,-,-,-,5111.39
26-Sep-18,-,-,-,5167.64
25-Sep-18,-,-,-,5167.89
24-Sep-18,-,-,-,5136.08
21-Sep-18,-,-,-,5238.71
19-Sep-18,-,-,-,5307.93
18-Sep-18,-,-,-,5334.95
17-Sep-18,-,-,-,5392.09
14-Sep-18,-,-,-,5444.07
12-Sep-18,-,-,-,5370.58
11-Sep-18,-,-,-,5342.06
10-Sep-18,-,-,-,5415.9
07-Sep-18,-,-,-,5490.27
06-Sep-18,-,-,-,5457.15
05-Sep-18,-,-,-,5428.96
04-Sep-18,-,-,-,5452.43
03-Sep-18,-,-,-,5517.44
31-Aug-18,-,-,-,5555.44
30-Aug-18,-,-,-,5545.73
29-Aug-18,-,-,-,5544.53
28-Aug-18,-,-,-,5551.31
27-Aug-18,-,-,-,5536.4
24-Aug-18,-,-,-,5477.29
23-Aug-18,-,-,-,5489.5
21-Aug-18,-,-,-,5484.21
20-Aug-18,-,-,-,5471.51
17-Aug-18,-,-,-,5433.06
16-Aug-18,-,-,-,5386.16
14-Aug-18,-,-,-,5408.3
13-Aug-18,-,-,-,5370.56
10-Aug-18,-,-,-,5408.88
09-Aug-18,-,-,-,5434.5
08-Aug-18,-,-,-,5421.14
07-Aug-18,-,-,-,5399.36
06-Aug-18,-,-,-,5402.63
03-Aug-18,-,-,-,5389.01
02-Aug-18,-,-,-,5334.59
01-Aug-18,-,-,-,5368.47
31-Jul-18,-,-,-,5367.24
30-Jul-18,-,-,-,5349.36
27-Jul-18,-,-,-,5326.21
26-Jul-18,-,-,-,5275.47
25-Jul-18,-,-,-,5254.8
24-Jul-18,-,-,-,5254.89
23-Jul-18,-,-,-,5204.35
20-Jul-18,-,-,-,5160.91
19-Jul-18,-,-,-,5133.99
18-Jul-18,-,-,-,5153.56
17-Jul-18,-,-,-,5179.8
16-Jul-18,-,-,-,5133.73
13-Jul-18,-,-,-,5200.91
12-Jul-18,-,-,-,5219.67
11-Jul-18,-,-,-,5200.44
10-Jul-18,-,-,-,5209.22
09-Jul-18,-,-,-,5163.65
06-Jul-18,-,-,-,5115.96
05-Jul-18,-,-,-,5100.33
04-Jul-18,-,-,-,5116.05
03-Jul-18,-,-,-,5091.18
02-Jul-18,-,-,-,5068.92
29-Jun-18,-,-,-,5098.81
28-Jun-18,-,-,-,5028.22
27-Jun-18,-,-,-,5080.04
26-Jun-18,-,-,-,5138.87
25-Jun-18,-,-,-,5141.48
22-Jun-18,-,-,-,5176.33
21-Jun-18,-,-,-,5145.76
20-Jun-18,-,-,-,5166.77
19-Jun-18,-,-,-,5143.82
18-Jun-18,-,-,-,5191.22
